,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
9,10.0,Indiana Pacers*,82,19805,0.435,12.1,,0.797,0.288,0.156,0.157,0.196,0.203,,0.457,0.589,0.366,0.368,0.407,0.351,,0.6,0.871,,0.052,301,,0.215,668,,0.33,0.383,,8.0,0.0
10,11.0,Los Angeles Clippers,82,19805,0.428,11.0,,0.844,0.341,0.155,0.13,0.218,0.156,,0.448,0.574,0.398,0.341,0.351,0.321,,0.55,0.866,,0.046,283,,0.263,879,,0.135,0.312,,11.0,0.0
11,12.0,Los Angeles Lakers*,82,19855,0.454,11.5,,0.833,0.326,0.143,0.126,0.238,0.167,,0.479,0.632,0.392,0.369,0.379,0.327,,0.608,0.901,,0.054,333,,0.25,959,,0.239,0.322,,16.0,1.0
12,13.0,Memphis Grizzlies*,82,19880,0.445,11.1,,0.803,0.342,0.17,0.101,0.19,0.197,,0.471,0.596,0.393,0.346,0.381,0.34,,0.609,0.857,,0.065,384,,0.252,899,,0.277,0.33,,20.0,2.0
13,14.0,Miami Heat*,82,19755,0.425,12.3,,0.789,0.297,0.143,0.117,0.231,0.211,,0.443,0.562,0.394,0.323,0.382,0.357,,0.505,0.889,,0.038,211,,0.232,758,,0.228,0.427,,19.0,0.0
14,15.0,Milwaukee Bucks*,82,19780,0.447,11.2,,0.828,0.32,0.152,0.176,0.179,0.172,,0.467,0.578,0.424,0.384,0.385,0.35,,0.588,0.903,,0.054,325,,0.245,835,,0.261,0.328,,9.0,0.0
15,16.0,Minnesota Timberwolves*,82,19755,0.462,13.0,,0.863,0.206,0.147,0.21,0.301,0.137,,0.477,0.62,0.44,0.431,0.429,0.363,,0.591,0.89,,0.03,191,,0.153,564,,0.259,0.397,,13.0,0.0
16,17.0,New Jersey Nets*,82,19705,0.441,11.9,,0.824,0.332,0.111,0.113,0.268,0.176,,0.464,0.609,0.342,0.357,0.381,0.336,,0.687,0.889,,0.067,394,,0.23,785,,0.185,0.409,,16.0,2.0
17,18.0,New Orleans Hornets*,82,19830,0.42,12.8,,0.748,0.294,0.115,0.131,0.209,0.252,,0.454,0.568,0.363,0.377,0.391,0.319,,0.591,0.738,,0.044,263,,0.229,770,,0.232,0.331,,12.0,1.0
18,19.0,New York Knicks*,82,19880,0.442,12.2,,0.829,0.259,0.156,0.177,0.237,0.171,,0.459,0.568,0.419,0.418,0.395,0.364,,0.548,0.835,,0.022,134,,0.213,725,,0.271,0.384,,12.0,0.0
19,20.0,Orlando Magic,82,19830,0.429,12.8,,0.816,0.26,0.138,0.145,0.273,0.184,,0.448,0.551,0.402,0.395,0.403,0.344,,0.504,0.786,,0.036,219,,0.197,657,,0.19,0.376,,4.0,0.0
20,21.0,Philadelphia 76ers,82,19855,0.428,11.3,,0.842,0.319,0.132,0.174,0.216,0.158,,0.445,0.562,0.37,0.36,0.385,0.342,,0.567,0.92,,0.043,239,,0.252,769,,0.316,0.383,,7.0,0.0
21,22.0,Phoenix Suns,82,19730,0.443,11.4,,0.82,0.327,0.137,0.146,0.21,0.18,,0.465,0.587,0.441,0.35,0.371,0.345,,0.482,0.87,,0.057,343,,0.247,860,,0.337,0.407,,14.0,0.0
22,23.0,Portland Trail Blazers,82,19980,0.448,11.5,,0.83,0.3,0.171,0.141,0.218,0.17,,0.469,0.597,0.41,0.415,0.375,0.346,,0.571,0.866,,0.055,339,,0.219,722,,0.188,0.362,,10.0,0.0
23,24.0,Sacramento Kings*,82,19780,0.462,13.0,,0.777,0.277,0.128,0.089,0.284,0.223,,0.48,0.636,0.34,0.383,0.421,0.401,,0.653,0.862,,0.035,220,,0.226,908,,0.307,0.422,,12.0,0.0
24,25.0,San Antonio Spurs*,82,19755,0.442,11.6,,0.823,0.282,0.197,0.144,0.2,0.177,,0.46,0.623,0.373,0.383,0.371,0.358,,0.543,0.868,,0.039,228,,0.234,856,,0.363,0.394,,12.0,0.0
25,26.0,Seattle SuperSonics,82,19805,0.446,13.5,,0.706,0.245,0.158,0.121,0.182,0.294,,0.476,0.655,0.377,0.389,0.38,0.373,,0.519,0.876,,0.052,305,,0.179,698,,0.272,0.408,,19.0,0.0
26,27.0,Toronto Raptors,82,19980,0.418,13.1,,0.796,0.252,0.123,0.155,0.267,0.204,,0.434,0.575,0.398,0.346,0.368,0.356,,0.519,0.944,,0.041,238,,0.177,553,,0.451,0.405,,8.0,0.0
27,28.0,Utah Jazz,82,19780,0.436,11.5,,0.873,0.357,0.085,0.104,0.327,0.127,,0.453,0.555,0.353,0.357,0.397,0.321,,0.598,0.845,,0.041,232,,0.284,889,,0.229,0.361,,8.0,0.0
28,29.0,Washington Wizards,82,19830,0.421,11.9,,0.806,0.29,0.18,0.123,0.213,0.194,,0.44,0.618,0.317,0.34,0.358,0.341,,0.511,0.808,,0.053,325,,0.225,806,,0.214,0.371,,4.0,0.0
29,,League Average,82,19825,0.439,12.0,,0.813,0.297,0.147,0.141,0.229,0.187,,0.46,0.592,0.382,0.377,0.388,0.347,,0.565,0.857,,0.047,280,,0.226,782,,0.261,0.378,,11.6,0.3
