,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
17,18.0,Minnesota Timberwolves*,82,19780,0.457,14.5,,0.546,0.267,0.173,0.059,0.047,0.454,,0.54,0.677,0.413,0.432,0.366,0.358,,0.519,0.797,,0.066,429,,0.278,1136,,0.222,0.394,,19.0,0.0
18,19.0,New Orleans Pelicans*,82,19755,0.457,13.6,,0.635,0.266,0.189,0.1,0.081,0.365,,0.528,0.668,0.427,0.458,0.394,0.332,,0.531,0.873,,0.055,354,,0.29,1118,,0.24,0.369,,18.0,2.0
19,20.0,New York Knicks,82,19780,0.437,14.7,,0.572,0.253,0.158,0.086,0.074,0.428,,0.497,0.654,0.374,0.376,0.361,0.357,,0.465,0.795,,0.069,431,,0.238,858,,0.219,0.392,,7.0,0.0
20,21.0,Oklahoma City Thunder,82,19805,0.43,14.3,,0.581,0.205,0.261,0.073,0.041,0.419,,0.507,0.643,0.444,0.427,0.366,0.323,,0.466,0.828,,0.052,325,,0.32,1199,,0.207,0.349,,9.0,0.0
21,22.0,Orlando Magic,82,19780,0.434,14.4,,0.583,0.223,0.227,0.069,0.063,0.417,,0.507,0.67,0.425,0.42,0.329,0.331,,0.499,0.88,,0.061,384,,0.268,1028,,0.212,0.385,,16.0,0.0
22,23.0,Philadelphia 76ers*,82,19805,0.466,14.0,,0.624,0.24,0.194,0.119,0.071,0.376,,0.527,0.702,0.414,0.417,0.431,0.364,,0.505,0.835,,0.05,315,,0.249,982,,0.244,0.394,,12.0,0.0
23,24.0,Phoenix Suns*,82,19730,0.485,14.2,,0.646,0.188,0.222,0.149,0.088,0.354,,0.551,0.709,0.503,0.497,0.427,0.364,,0.552,0.832,,0.053,370,,0.22,951,,0.26,0.39,,13.0,0.0
24,25.0,Portland Trail Blazers,82,19730,0.442,14.6,,0.578,0.26,0.173,0.074,0.071,0.422,,0.513,0.63,0.423,0.421,0.402,0.346,,0.5,0.787,,0.047,293,,0.274,1031,,0.21,0.368,,11.0,0.0
25,26.0,Sacramento Kings,82,19805,0.46,13.9,,0.623,0.233,0.219,0.099,0.072,0.377,,0.53,0.698,0.433,0.423,0.425,0.344,,0.498,0.807,,0.059,362,,0.264,1079,,0.219,0.385,,13.0,1.0
26,27.0,San Antonio Spurs,82,19805,0.467,13.4,,0.655,0.236,0.226,0.124,0.069,0.345,,0.527,0.674,0.455,0.441,0.413,0.352,,0.551,0.912,,0.036,251,,0.291,1254,,0.23,0.368,,14.0,1.0
27,28.0,Toronto Raptors*,82,19855,0.445,14.3,,0.625,0.225,0.209,0.097,0.095,0.375,,0.503,0.653,0.439,0.426,0.365,0.349,,0.434,0.804,,0.055,354,,0.245,975,,0.24,0.4,,17.0,2.0
28,29.0,Utah Jazz*,82,19730,0.471,15.1,,0.532,0.203,0.235,0.066,0.029,0.468,,0.568,0.729,0.481,0.458,0.396,0.36,,0.454,0.727,,0.07,442,,0.246,989,,0.242,0.383,,14.0,1.0
29,30.0,Washington Wizards,82,19830,0.472,13.9,,0.644,0.226,0.225,0.107,0.086,0.356,,0.543,0.727,0.456,0.43,0.426,0.342,,0.532,0.86,,0.065,408,,0.28,1135,,0.246,0.397,,11.0,0.0
30,,League Average,82,19793,0.461,14.3,,0.601,0.241,0.194,0.094,0.071,0.399,,0.533,0.687,0.439,0.431,0.4,0.354,,0.512,0.821,,0.058,370,,0.265,1069,,0.237,0.383,,14.9,0.4
