,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
103,Bob McAdoo*,C,32,LAL,20,0.0,22.4,5.6,10.8,0.516,0.0,0.1,0.0,5.6,10.7,0.519,0.516,2.9,4.1,0.704,1.5,3.9,5.4,0.6,0.6,1.4,2.0,3.2,14.0
104,Scooter McCray,PF,23,SEA,4,0.0,9.5,1.0,1.5,0.667,0.0,0.3,0.0,1.0,1.3,0.8,0.667,0.0,0.3,0.0,0.8,0.8,1.5,0.8,0.3,0.0,0.0,2.0,2.0
105,Mike McGee,SF,24,LAL,17,0.0,21.8,5.3,9.2,0.573,0.4,1.0,0.353,4.9,8.2,0.6,0.592,1.5,2.3,0.641,1.3,0.7,2.0,1.4,0.6,0.1,1.6,3.1,12.4
106,Kevin McHale*,PF,26,BOS,23,0.0,30.5,5.3,10.6,0.504,0.0,0.1,0.0,5.3,10.5,0.51,0.504,4.1,5.3,0.777,2.7,3.5,6.2,1.2,0.1,1.5,1.7,3.3,14.8
107,Tom McMillen,C,31,WSB,4,0.0,10.5,1.0,4.0,0.25,0.0,0.0,0.0,1.0,4.0,0.25,0.25,0.3,0.5,0.5,0.3,0.3,0.5,0.8,0.0,0.0,0.3,1.5,2.3
108,Larry Micheaux,PF,23,KCK,3,0.0,21.7,4.0,6.0,0.667,0.0,0.0,0.0,4.0,6.0,0.667,0.667,2.0,3.3,0.6,4.0,3.0,7.0,1.0,0.0,1.7,0.7,3.3,10.0
109,Paul Mokeski,C,27,MIL,16,0.0,20.1,2.1,3.9,0.54,0.0,0.1,0.0,2.1,3.8,0.557,0.54,1.9,2.8,0.667,1.3,4.3,5.5,0.4,0.6,0.7,0.6,3.9,6.1
110,Sidney Moncrief*,SG,26,MIL,16,0.0,38.6,6.2,11.9,0.518,0.1,0.3,0.25,6.1,11.7,0.524,0.521,6.6,8.4,0.791,2.8,4.2,6.9,4.3,1.8,0.6,3.8,3.4,19.1
111,Larry Nance,PF,24,PHO,17,0.0,37.2,6.9,11.8,0.59,0.0,0.0,0.0,6.9,11.8,0.59,0.59,3.0,4.5,0.671,3.0,5.7,8.7,2.4,0.9,2.0,1.8,3.5,16.9
112,Swen Nater,C,34,LAL,17,0.0,8.6,1.1,2.2,0.5,0.0,0.0,0.0,1.1,2.2,0.5,0.5,1.2,1.5,0.769,0.9,1.4,2.4,0.1,0.1,0.1,0.5,1.6,3.4
