,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Corner,Corner,Unnamed: 29_level_0,Heaves,Heaves
15,16.0,Minnesota Timberwolves*,82,19905,0.467,13.5,,0.896,0.203,0.17,0.166,0.357,0.104,,0.481,0.638,0.431,0.384,0.46,0.346,,0.669,0.859,,0.035,222,,0.264,0.365,,11.0,0.0
16,17.0,New Jersey Nets,82,19830,0.433,14.2,,0.8,0.269,0.141,0.105,0.285,0.2,,0.454,0.603,0.343,0.333,0.413,0.347,,0.505,0.891,,0.037,238,,0.194,0.352,,8.0,0.0
17,18.0,New York Knicks*,82,19830,0.455,12.6,,0.853,0.249,0.199,0.215,0.19,0.147,,0.468,0.608,0.342,0.418,0.474,0.375,,0.502,0.886,,0.029,172,,0.287,0.379,,18.0,2.0
18,19.0,Orlando Magic,82,19755,0.452,12.6,,0.876,0.287,0.167,0.138,0.284,0.124,,0.468,0.613,0.359,0.368,0.433,0.338,,0.519,0.735,,0.054,327,,0.166,0.354,,10.0,1.0
19,20.0,Philadelphia 76ers*,82,19830,0.442,11.1,,0.905,0.273,0.222,0.21,0.2,0.095,,0.454,0.704,0.294,0.321,0.429,0.323,,0.587,0.88,,0.037,239,,0.19,0.459,,6.0,0.0
20,21.0,Phoenix Suns*,82,19805,0.457,12.8,,0.816,0.287,0.172,0.143,0.214,0.184,,0.477,0.635,0.38,0.364,0.418,0.368,,0.632,0.943,,0.049,306,,0.224,0.394,,6.0,0.0
21,22.0,Portland Trail Blazers*,82,19780,0.47,13.1,,0.825,0.287,0.176,0.116,0.246,0.175,,0.493,0.637,0.405,0.391,0.436,0.361,,0.604,0.848,,0.06,340,,0.239,0.385,,13.0,0.0
22,23.0,Sacramento Kings*,82,19805,0.45,13.1,,0.773,0.242,0.226,0.105,0.2,0.227,,0.487,0.661,0.411,0.377,0.419,0.322,,0.576,0.699,,0.047,316,,0.162,0.351,,21.0,0.0
23,24.0,San Antonio Spurs*,82,19855,0.462,11.7,,0.862,0.268,0.208,0.17,0.215,0.138,,0.476,0.633,0.391,0.388,0.431,0.374,,0.588,0.839,,0.054,312,,0.355,0.383,,9.0,0.0
24,25.0,Seattle SuperSonics*,82,19780,0.447,13.3,,0.768,0.234,0.201,0.103,0.229,0.232,,0.48,0.695,0.397,0.313,0.409,0.339,,0.558,0.821,,0.039,255,,0.211,0.35,,5.0,0.0
25,26.0,Toronto Raptors*,82,19755,0.433,14.0,,0.83,0.22,0.145,0.17,0.295,0.17,,0.447,0.604,0.352,0.353,0.432,0.363,,0.617,0.873,,0.058,364,,0.302,0.393,,11.0,0.0
26,27.0,Utah Jazz*,82,19755,0.464,13.1,,0.866,0.275,0.148,0.153,0.29,0.134,,0.476,0.618,0.364,0.366,0.458,0.385,,0.671,0.836,,0.032,195,,0.189,0.422,,5.0,1.0
27,28.0,Vancouver Grizzlies,82,19855,0.449,11.7,,0.861,0.252,0.224,0.159,0.225,0.139,,0.463,0.638,0.401,0.355,0.406,0.361,,0.548,0.907,,0.045,265,,0.31,0.388,,4.0,0.0
28,29.0,Washington Wizards,82,19805,0.451,11.7,,0.867,0.25,0.212,0.206,0.2,0.133,,0.462,0.62,0.375,0.375,0.445,0.376,,0.558,0.833,,0.048,300,,0.204,0.462,,1.0,0.0
29,,League Average,82,19801,0.449,12.8,,0.833,0.256,0.188,0.161,0.228,0.167,,0.468,0.633,0.379,0.365,0.428,0.353,,0.569,0.851,,0.047,287,,0.228,0.386,,8.4,0.2
