,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 13_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 20_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 23_level_0,Dunks,Dunks,Unnamed: 26_level_0,Layups,Layups,Unnamed: 29_level_0,Corner,Corner,Unnamed: 32_level_0,Heaves,Heaves
12,13.0,Los Angeles Lakers*,82,20030,0.466,12.4,,0.741,0.326,0.122,0.096,0.196,0.259,,0.505,0.611,0.429,0.428,0.415,0.353,,0.537,0.837,,0.049,308,,0.256,941,,0.229,0.392,,14.0,0.0
13,14.0,Memphis Grizzlies,82,19980,0.465,11.7,,0.789,0.343,0.139,0.1,0.207,0.211,,0.491,0.595,0.425,0.394,0.41,0.367,,0.505,0.836,,0.07,402,,0.252,823,,0.163,0.446,,17.0,0.0
14,15.0,Miami Heat*,82,19855,0.464,12.4,,0.755,0.304,0.147,0.094,0.211,0.245,,0.503,0.642,0.432,0.393,0.402,0.343,,0.514,0.856,,0.054,315,,0.228,830,,0.263,0.366,,12.0,0.0
15,16.0,Milwaukee Bucks,82,19855,0.465,11.4,,0.781,0.36,0.124,0.113,0.183,0.219,,0.495,0.6,0.43,0.419,0.381,0.356,,0.512,0.844,,0.04,244,,0.291,1106,,0.26,0.376,,5.0,0.0
16,17.0,Minnesota Timberwolves,82,20005,0.461,12.8,,0.833,0.267,0.127,0.133,0.305,0.167,,0.483,0.608,0.426,0.432,0.419,0.353,,0.576,0.896,,0.037,214,,0.211,766,,0.259,0.369,,24.0,1.0
17,18.0,New Jersey Nets*,82,19880,0.457,12.8,,0.737,0.332,0.089,0.077,0.24,0.263,,0.49,0.585,0.422,0.396,0.413,0.363,,0.609,0.916,,0.06,347,,0.244,809,,0.273,0.393,,11.0,0.0
18,19.0,New Orleans/Oklahoma City Hornets,82,19880,0.445,11.5,,0.812,0.307,0.17,0.119,0.216,0.188,,0.464,0.602,0.404,0.344,0.382,0.362,,0.456,0.855,,0.049,285,,0.235,850,,0.217,0.388,,8.0,0.0
19,20.0,New York Knicks,82,20005,0.457,10.8,,0.784,0.389,0.142,0.073,0.18,0.216,,0.487,0.6,0.411,0.328,0.368,0.346,,0.475,0.797,,0.051,302,,0.303,1054,,0.261,0.364,,17.0,0.0
20,21.0,Orlando Magic*,82,19780,0.472,10.8,,0.842,0.361,0.15,0.106,0.225,0.158,,0.494,0.631,0.415,0.36,0.391,0.356,,0.483,0.883,,0.078,436,,0.257,877,,0.291,0.382,,6.0,0.0
21,22.0,Philadelphia 76ers,82,19880,0.458,11.4,,0.872,0.321,0.117,0.171,0.262,0.128,,0.474,0.616,0.381,0.373,0.408,0.345,,0.535,0.887,,0.069,407,,0.231,778,,0.213,0.394,,16.0,0.0
22,23.0,Phoenix Suns*,82,19905,0.494,13.1,,0.713,0.31,0.104,0.097,0.202,0.287,,0.532,0.671,0.455,0.433,0.407,0.399,,0.557,0.856,,0.063,389,,0.235,979,,0.315,0.448,,15.0,0.0
23,24.0,Portland Trail Blazers,82,19955,0.45,12.2,,0.807,0.288,0.162,0.105,0.253,0.193,,0.474,0.589,0.441,0.38,0.405,0.346,,0.464,0.885,,0.033,185,,0.228,810,,0.363,0.396,,23.0,0.0
24,25.0,Sacramento Kings,82,19805,0.45,12.7,,0.768,0.294,0.142,0.077,0.255,0.232,,0.48,0.6,0.418,0.38,0.408,0.35,,0.502,0.858,,0.035,206,,0.244,907,,0.194,0.357,,4.0,0.0
25,26.0,San Antonio Spurs*,82,19780,0.474,12.7,,0.753,0.288,0.155,0.107,0.204,0.247,,0.504,0.653,0.444,0.406,0.392,0.381,,0.523,0.934,,0.025,128,,0.251,993,,0.384,0.406,,9.0,0.0
26,27.0,Seattle SuperSonics,82,19830,0.46,11.8,,0.781,0.291,0.183,0.137,0.17,0.219,,0.487,0.625,0.421,0.391,0.401,0.362,,0.503,0.811,,0.061,359,,0.207,761,,0.235,0.349,,14.0,0.0
27,28.0,Toronto Raptors*,82,19755,0.463,13.2,,0.776,0.277,0.109,0.117,0.273,0.224,,0.492,0.619,0.429,0.379,0.437,0.363,,0.536,0.906,,0.04,229,,0.2,746,,0.329,0.427,,13.0,1.0
28,29.0,Utah Jazz*,82,19805,0.474,11.4,,0.837,0.359,0.107,0.113,0.257,0.163,,0.501,0.621,0.371,0.401,0.432,0.335,,0.632,0.867,,0.039,239,,0.3,1127,,0.159,0.298,,13.0,0.0
29,30.0,Washington Wizards*,82,19830,0.45,13.2,,0.763,0.294,0.121,0.079,0.269,0.237,,0.482,0.626,0.386,0.355,0.405,0.348,,0.487,0.781,,0.041,268,,0.232,887,,0.208,0.352,,8.0,1.0
30,,League Average,82,19856,0.458,12.2,,0.787,0.314,0.131,0.113,0.229,0.213,,0.485,0.61,0.411,0.392,0.404,0.358,,0.527,0.863,,0.046,277,,0.244,886,,0.271,0.384,,12.6,0.3
